timestamp,Infrared to Red Signal Ratio
07/21/22 00:00:27,0
07/21/22 00:01:27,0
07/21/22 00:02:27,-2
07/21/22 00:03:27,-7
07/21/22 00:04:27,0
07/21/22 00:05:27,0
07/21/22 00:06:27,0
07/21/22 00:07:27,0
07/21/22 00:08:27,0
07/21/22 00:09:27,0
07/21/22 00:10:27,0
07/21/22 00:11:27,0
07/21/22 00:12:27,0
07/21/22 00:13:27,0
07/21/22 00:14:27,0
07/21/22 00:15:27,0
07/21/22 00:16:27,0
07/21/22 00:17:27,0
07/21/22 00:18:27,0
07/21/22 00:19:27,0
07/21/22 00:20:27,-2
07/21/22 00:21:27,-8
07/21/22 00:22:27,0
07/21/22 00:23:27,0
07/21/22 00:24:27,0
07/21/22 00:25:27,0
07/21/22 00:26:27,0
07/21/22 00:27:27,13
07/21/22 00:28:27,21
07/21/22 00:29:27,0
07/21/22 00:30:27,0
07/21/22 00:31:27,0
07/21/22 00:33:00,0
07/21/22 00:34:00,0
07/21/22 00:35:00,-4
07/21/22 00:36:00,-1
07/21/22 00:37:00,2
07/21/22 00:38:00,0
07/21/22 00:39:00,-21
07/21/22 00:40:00,-3
07/21/22 00:41:01,-3
07/21/22 00:42:01,1
07/21/22 00:43:01,0
07/21/22 00:44:01,14
07/21/22 00:45:01,-2
07/21/22 00:46:01,0
07/21/22 00:47:01,-6
07/21/22 00:48:01,0
07/21/22 00:49:01,-3
07/21/22 00:50:10,0
07/21/22 00:51:10,-32
07/21/22 00:52:11,0
07/21/22 00:53:11,-4
07/21/22 00:54:11,0
07/21/22 00:55:11,-1
07/21/22 00:56:11,30
07/21/22 00:57:11,14
07/21/22 00:58:11,-15
07/21/22 00:59:11,-7
07/21/22 01:00:11,-2
07/21/22 01:01:11,-8
07/21/22 01:02:11,0
07/21/22 01:03:11,-3
07/21/22 01:04:11,-42
07/21/22 01:05:11,-32
07/21/22 01:06:11,1
07/21/22 01:07:11,8
07/21/22 01:08:11,0
07/21/22 01:09:11,0
07/21/22 01:10:11,-16
07/21/22 01:11:11,39
07/21/22 01:12:11,-6
07/21/22 01:13:11,0
07/21/22 01:14:11,4
07/21/22 01:15:11,-2
07/21/22 01:16:11,0
07/21/22 01:17:11,24
07/21/22 01:18:11,21
07/21/22 01:19:11,-6
07/21/22 01:20:11,30
07/21/22 01:21:11,0
07/21/22 01:22:11,-7
07/21/22 01:23:11,0
07/21/22 01:24:11,16
07/21/22 01:25:11,11
07/21/22 01:26:11,-13
07/21/22 01:27:11,-12
07/21/22 01:28:11,-13
07/21/22 01:29:11,-4
07/21/22 01:30:11,-14
07/21/22 01:31:11,-9
07/21/22 01:32:11,0
07/21/22 01:33:11,0
07/21/22 01:34:11,0
07/21/22 01:35:12,17
07/21/22 01:36:12,0
07/21/22 01:37:12,-9
07/21/22 01:38:12,0
07/21/22 01:39:12,-11
07/21/22 01:40:13,0
07/21/22 01:41:13,-2
07/21/22 01:42:13,0
07/21/22 01:43:13,8
07/21/22 01:44:13,15
07/21/22 01:45:13,-2
07/21/22 01:46:13,-13
07/21/22 01:47:13,2
07/21/22 01:48:13,0
07/21/22 01:49:13,-13
07/21/22 01:50:13,-18
07/21/22 01:51:13,31
07/21/22 01:52:13,4
07/21/22 01:53:13,0
07/21/22 01:54:13,6
07/21/22 01:55:13,6
07/21/22 01:56:13,-4
07/21/22 01:57:13,-32
07/21/22 01:58:14,0
07/21/22 01:59:14,-12
07/21/22 02:00:14,-26
07/21/22 02:01:14,-12
07/21/22 02:02:14,0
07/21/22 02:03:14,0
07/21/22 02:04:14,0
07/21/22 02:05:14,0
07/21/22 02:06:14,-8
07/21/22 02:07:14,-5
07/21/22 02:08:14,-25
07/21/22 02:09:14,0
07/21/22 02:10:14,0
07/21/22 02:11:14,2
07/21/22 02:12:14,15
07/21/22 02:13:14,-6
07/21/22 02:14:14,3
07/21/22 02:15:14,0
07/21/22 02:16:14,0
07/21/22 02:17:14,0
07/21/22 02:18:14,30
07/21/22 02:19:14,6
07/21/22 02:20:14,0
07/21/22 02:21:14,0
07/21/22 02:22:14,0
07/21/22 02:23:14,-8
07/21/22 02:24:15,0
07/21/22 02:25:15,0
07/21/22 02:26:15,0
07/21/22 02:27:15,-8
07/21/22 02:28:15,-3
07/21/22 02:29:15,0
07/21/22 02:30:15,10
07/21/22 02:31:15,0
07/21/22 02:32:15,8
07/21/22 02:33:15,0
07/21/22 02:34:15,1
07/21/22 02:35:15,0
07/21/22 02:36:16,6
07/21/22 02:37:16,0
07/21/22 02:38:17,0
07/21/22 02:39:17,-2
07/21/22 02:40:17,-4
07/21/22 02:41:17,3
07/21/22 02:42:17,0
07/21/22 02:43:17,0
07/21/22 02:44:17,-4
07/21/22 02:45:17,0
07/21/22 02:46:17,17
07/21/22 02:47:17,-9
07/21/22 02:48:17,1
07/21/22 02:49:17,-3
07/21/22 06:07:06,0
07/21/22 06:08:06,0
07/21/22 06:10:08,0
07/21/22 06:11:14,0
07/21/22 06:12:20,0
07/21/22 06:13:26,0
07/21/22 06:14:32,0
07/21/22 06:15:38,0
07/21/22 06:16:44,0
07/21/22 06:17:50,0
07/21/22 06:18:56,0
07/21/22 06:20:02,0
07/21/22 06:21:08,0
07/21/22 08:15:42,0
07/21/22 14:34:07,0
07/21/22 14:35:07,0
07/21/22 14:36:07,0
07/21/22 14:37:07,0
07/21/22 14:38:07,0
07/21/22 14:39:07,0
07/21/22 14:40:09,0
07/21/22 14:41:09,0
